,coef_full,se_full,coef_sin_d,se_sin_d,coef_sin_m,se_sin_m
const,-3.4007,0.0215,-3.4018,0.0216,-3.3835,0.0212
a,-0.0792,0.0139,-0.0793,0.0139,-0.0786,0.0139
b,0.1671,0.0165,0.1668,0.0165,0.1735,0.0165
c,0.0467,0.0125,0.0463,0.0125,0.0458,0.0125
d,-0.0692,0.0225,,,-0.1952,0.0181
e,0.0074,0.0121,0.0074,0.012,0.0078,0.0122
f,-0.157,0.1118,-0.1593,0.1129,-0.1885,0.1195
h,-0.1056,0.0169,-0.1063,0.0169,-0.1078,0.0169
k,0.0312,0.0156,0.0311,0.0156,0.0307,0.0156
l,-0.33,0.0211,-0.3245,0.021,-0.357,0.0212
m,-0.2535,0.0278,-0.3052,0.0227,,
n,-0.197,0.0119,-0.2,0.0118,-0.2102,0.0118
monto,0.1142,0.0102,0.1149,0.0102,0.1123,0.0102
score,0.6207,0.0194,0.6235,0.0194,0.6333,0.0194
